"filename", "language", "Makefile", "Markdown", "C", "comment", "blank", "total"
"/home/josko-k/pgit/lsclone/lsclone.c", "C", 0, 0, 211, 14, 67, 292
"/home/josko-k/pgit/lsclone/makefile", "Makefile", 11, 0, 0, 0, 5, 16
"/home/josko-k/pgit/lsclone/readme.md", "Markdown", 0, 20, 0, 0, 1, 21
"Total", "-", 11, 20, 211, 14, 73, 329
